Index,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-03-10,357.75,358.25,354.0,354.75,1.25,354.75,2265.0,1676.0
2019-03-17,369.25,373.75,369.0,373.0,3.0,373.25,173593.0,784390.0
2019-03-24,375.75,380.75,375.5,378.0,2.0,378.25,209014.0,777649.0
2019-03-31,373.75,375.0,356.0,357.0,17.5,356.5,408672.0,736500.0
2019-04-07,364.5,364.75,360.5,362.5,2.75,362.5,247029.0,688126.0
2019-04-14,360.25,361.5,358.5,360.5,1.0,361.0,81349.0,484092.0
2019-04-21,358.0,359.25,357.0,358.0,0.25,358.5,90353.0,396091.0
2019-04-28,347.25,353.5,347.0,351.0,3.75,351.25,150231.0,238363.0
2019-05-05,362.25,363.25,359.5,358.0,1.0,363.0,1645.0,2313.0
2019-05-12,346.5,346.5,338.25,342.75,2.0,342.5,308.0,375.0
2019-05-19,380.0,384.75,380.0,382.5,4.25,383.25,301062.0,807524.0
2019-05-26,390.5,404.75,389.75,403.5,14.5,404.25,285729.0,750847.0
2019-06-02,435.0,437.5,423.25,427.0,9.25,427.0,281470.0,683479.0
2019-06-09,421.0,423.5,415.0,417.5,4.75,415.75,200060.0,595517.0
2019-06-16,442.0,457.25,441.75,453.0,11.0,453.0,290750.0,435110.0
2019-06-23,452.0,454.0,441.75,442.5,7.75,442.25,220486.0,320450.0
2019-06-30,439.0,455.0,411.0,422.75,19.75,420.25,33438.0,28962.0
2019-07-07,433.0,435.5,427.0,435.5,1.0,434.0,2123.0,2416.0
2019-07-14,447.75,457.0,447.75,449.75,1.75,449.5,268.0,433.0
2019-07-21,425.5,434.0,423.75,430.5,6.25,430.75,103643.0,541302.0
2019-07-28,418.25,419.5,413.0,414.75,4.0,414.5,101738.0,527645.0
2019-08-04,394.75,400.0,393.5,400.0,6.75,399.5,74140.0,513125.0
2019-08-11,410.75,417.0,407.25,410.0,0.75,410.25,167674.0,450514.0
2019-08-18,361.5,371.25,361.25,369.0,10.25,371.0,89062.0,339615.0
2019-08-25,362.75,363.0,357.5,359.0,3.5,359.75,152021.0,259507.0
2019-09-01,359.75,364.5,356.75,357.0,1.75,358.0,10502.0,9695.0
2019-09-08,347.5,348.25,341.5,342.0,4.0,342.5,1357.0,1387.0
2019-09-15,358.5,358.5,358.5,358.5,1.0,355.5,122.0,124.0
2019-09-22,372.75,374.5,369.5,370.5,2.0,370.75,117457.0,890569.0
2019-09-29,371.25,373.0,369.75,371.5,1.0,371.5,81035.0,876952.0
2019-10-06,387.0,389.0,383.75,384.75,4.0,384.75,103288.0,813673.0
2019-10-13,380.75,398.75,380.5,397.25,17.5,397.75,253205.0,783974.0
2019-10-20,394.0,395.75,389.75,390.25,3.75,391.0,110414.0,739371.0
2019-10-27,387.0,390.0,385.75,387.0,1.0,386.75,116327.0,731514.0
2019-11-03,385.75,391.25,385.25,390.25,4.5,390.75,154228.0,701621.0
